ronde,basis_postcode,nieuwe_mensen,gemiddelde_responstijd,combined_score,cumulatief_mensen
1,7335,199350.0,472.0,0.4182047007834639,199350.0
2,3843,130965.0,453.6666666666667,0.4255733479111897,330315.0
3,7075,164495.0,488.3541666666667,0.42879306880582485,494810.0
4,7109,67990.0,441.72727272727275,0.4358448368562872,562800.0
5,7207,108460.0,502.6363636363636,0.44088481040138505,671260.0
