ronde,basis_postcode,nieuwe_mensen,gemiddelde_responstijd,combined_score,cumulatief_mensen
1,7317,234325.0,534.74,0.3068142612040278,234325.0
2,7054,199630.0,623.3333333333334,0.3409394462398597,433955.0
3,3843,130965.0,453.6666666666667,0.3705242670379139,564920.0
4,7204,104695.0,506.97058823529414,0.42881401216919846,669615.0
5,7141,73535.0,571.95,0.5003416666666667,743150.0
