ronde,basis_postcode,nieuwe_mensen,gemiddelde_responstijd,combined_score,cumulatief_mensen
1,7335,199350.0,472.0,0.38379418792020886,199350.0
2,3843,130965.0,453.6666666666667,0.38336180110234797,330315.0
3,7075,164495.0,488.3541666666667,0.4116383545337643,494810.0
4,7207,108460.0,502.6363636363636,0.4026120316654668,603270.0
5,7119,83280.0,474.2307692307692,0.44508916553569133,686550.0
