ronde,basis_postcode,nieuwe_mensen,gemiddelde_responstijd,combined_score,cumulatief_mensen
1,7317,234325.0,534.74,0.31263956610052296,234325.0
2,7007,183050.0,512.7407407407408,0.3404969223392424,417375.0
3,3843,130965.0,453.6666666666667,0.36612701809812565,548340.0
4,7231,107200.0,530.2666666666667,0.4100857236932947,655540.0
5,7141,89460.0,568.5769230769231,0.5373981551864268,745000.0
