ronde,basis_postcode,nieuwe_mensen,gemiddelde_responstijd,combined_score,cumulatief_mensen
1,7335,199350.0,472.0,0.34938367505695395,199350.0
2,7007,183050.0,512.7407407407408,0.3585354877985526,382400.0
3,3843,130965.0,453.6666666666667,0.39167344499939566,513365.0
4,7203,97895.0,480.58620689655174,0.3912996452869687,611260.0
5,7225,290.0,0.0,0.4508031016338964,611550.0
