ronde,basis_postcode,nieuwe_mensen,gemiddelde_responstijd,combined_score,cumulatief_mensen
1,3843,133860.0,468.40909090909093,0.4795454545454545,133860.0
2,8079,22435.0,436.8333333333333,0.5146296296296297,156295.0
3,8191,50435.0,454.44444444444446,0.4950617283950617,206730.0
4,7335,196455.0,465.3658536585366,0.48292682926829267,403185.0
5,7396,6690.0,388.6,0.5682222222222222,409875.0
